STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BHS,"Bahamas, The",ITU_GCI_CDS_CYB_PROF_TRAIN,Training for Cybersecurity Professionals - CDS2 (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_1,0-1 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,0.1830357142857142,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BHR,Bahrain,ITU_GCI_CDS_CYB_PROF_TRAIN,Training for Cybersecurity Professionals - CDS2 (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_1,0-1 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,0.6785714285714286,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,ITU_GCI_CDS_CYB_PROF_TRAIN,Training for Cybersecurity Professionals - CDS2 (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_1,0-1 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,0.9280133928571428,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRB,Barbados,ITU_GCI_CDS_CYB_PROF_TRAIN,Training for Cybersecurity Professionals - CDS2 (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_1,0-1 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,0.0,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,ITU_GCI_CDS_CYB_PROF_TRAIN,Training for Cybersecurity Professionals - CDS2 (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_1,0-1 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,0.5234375,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BEL,Belgium,ITU_GCI_CDS_CYB_PROF_TRAIN,Training for Cybersecurity Professionals - CDS2 (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_1,0-1 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,1.0,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLZ,Belize,ITU_GCI_CDS_CYB_PROF_TRAIN,Training for Cybersecurity Professionals - CDS2 (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_1,0-1 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,0.0,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BEN,Benin,ITU_GCI_CDS_CYB_PROF_TRAIN,Training for Cybersecurity Professionals - CDS2 (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_1,0-1 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,0.9168526785714286,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BTN,Bhutan,ITU_GCI_CDS_CYB_PROF_TRAIN,Training for Cybersecurity Professionals - CDS2 (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_1,0-1 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,0.0,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BOL,Bolivia,ITU_GCI_CDS_CYB_PROF_TRAIN,Training for Cybersecurity Professionals - CDS2 (ITU GCI),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_1,0-1 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,0.8515625,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
